x;y;lat;lng;latdms;lngdms
6275755;1538971;56.60751241096694;16.439837679319282;"N 56° 362 27.043 ";"E 16° 262 23.423 "
6283750;1544290;56.67883359632058;16.5278137883102;"N 56° 402 43.803 ";"E 16° 312 40.133 "
6268390;1539280;56.541349695181374;16.44375543525099;"N 56° 322 28.863 ";"E 16° 262 37.523 "
6268390;1539280;56.541349695181374;16.44375543525099;"N 56° 322 28.863 ";"E 16° 262 37.523 "
6264000;1538250;56.50201217596673;16.426369239619717;"N 56° 302 7.243 ";"E 16° 252 34.933 "
6265940;1536510;56.519571330558946;16.398387235358083;"N 56° 312 10.463 ";"E 16° 232 54.193 "
6265940;1536510;56.519571330558946;16.398387235358083;"N 56° 312 10.463 ";"E 16° 232 54.193 "
6265940;1536510;56.519571330558946;16.398387235358083;"N 56° 312 10.463 ";"E 16° 232 54.193 "
6259160;1538460;56.45853158463144;16.42906692466774;"N 56° 272 30.713 ";"E 16° 252 44.643 "
6255100;1538925;56.42203426242925;16.436005643303925;"N 56° 252 19.323 ";"E 16° 262 9.623 "
6254924;1538831;56.420461477487436;16.434456468045344;"N 56° 252 13.663 ";"E 16° 262 4.043 "
6253443;1538727;56.40717038255592;16.432552865686223;"N 56° 242 25.813 ";"E 16° 252 57.193 "
6247821;1538112;56.35673345850177;16.42177696988119;"N 56° 212 24.243 ";"E 16° 252 18.403 "
6247800;1538090;56.356546639424494;16.421418066073468;"N 56° 212 23.573 ";"E 16° 252 17.113 "
6247800;1538090;56.356546639424494;16.421418066073468;"N 56° 212 23.573 ";"E 16° 252 17.113 "
6242620;1543480;56.309566221718505;16.507750144771055;"N 56° 182 34.443 ";"E 16° 302 27.903 "
6247000;1545000;56.34875755801378;16.53305354448192;"N 56° 202 55.533 ";"E 16° 312 58.993 "
6246416;1544878;56.343524747117456;16.53098111163406;"N 56° 202 36.693 ";"E 16° 312 51.533 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6257925;1547000;56.44666940403533;16.567352240055257;"N 56° 262 48.013 ";"E 16° 342 2.473 "
6265500;1548960;56.51449199366265;16.60054996742342;"N 56° 302 52.173 ";"E 16° 362 1.983 "
6265500;1548960;56.51449199366265;16.60054996742342;"N 56° 302 52.173 ";"E 16° 362 1.983 "
6274345;1547035;56.594113304973376;16.570883141873185;"N 56° 352 38.813 ";"E 16° 342 15.183 "
6272863;1551353;56.58035387829702;16.640870991286384;"N 56° 342 49.273 ";"E 16° 382 27.143 "
6272850;1551350;56.580237472328406;16.640819608598797;"N 56° 342 48.853 ";"E 16° 382 26.953 "
6275109;1551101;56.600549266856284;16.637213280171252;"N 56° 362 1.983 ";"E 16° 382 13.973 "
6275120;1551070;56.60065141061073;16.636710796207623;"N 56° 362 2.353 ";"E 16° 382 12.163 "
6280360;1553610;56.64742032777124;16.679144614888003;"N 56° 382 50.713 ";"E 16° 402 44.923 "
6286146;1554808;56.69923570262625;16.699899871998475;"N 56° 412 57.253 ";"E 16° 412 59.643 "
6287745;1555230;56.7135437898992;16.70713048487147;"N 56° 422 48.763 ";"E 16° 422 25.673 "
6286318;1554662;56.70079719138914;16.697553453364034;"N 56° 422 2.873 ";"E 16° 412 51.193 "
6286150;1554760;56.699277235724956;16.69911729678811;"N 56° 412 57.403 ";"E 16° 412 56.823 "
6286150;1554760;56.699277235724956;16.69911729678811;"N 56° 412 57.403 ";"E 16° 412 56.823 "
6287450;1555124;56.71090743775072;16.705336582355653;"N 56° 422 39.273 ";"E 16° 422 19.213 "
6288310;1555360;56.71860164259237;16.709374624493062;"N 56° 432 6.973 ";"E 16° 422 33.753 "
6288553;1555531;56.720763305638535;16.71221945899004;"N 56° 432 14.753 ";"E 16° 422 43.993 "
6294638;1557215;56.7751976888924;16.741075978016447;"N 56° 462 30.713 ";"E 16° 442 27.873 "
6294680;1557245;56.77557112807216;16.741575982249806;"N 56° 462 32.063 ";"E 16° 442 29.673 "
6294068;1557129;56.770090201347514;16.73954249780712;"N 56° 462 12.323 ";"E 16° 442 22.353 "
6296547;1557031;56.792361054548294;16.738491811949768;"N 56° 472 32.503 ";"E 16° 442 18.573 "
6296674;1556961;56.79350993386567;16.737374754549794;"N 56° 472 36.643 ";"E 16° 442 14.553 "
6301200;1559250;56.83386301558862;16.77587617104746;"N 56° 502 1.913 ";"E 16° 462 33.153 "
6301650;1554900;56.83843655992342;16.704720749215703;"N 56° 502 18.373 ";"E 16° 422 16.993 "
6305905;1555861;56.87652753517994;16.72139591054851;"N 56° 522 35.503 ";"E 16° 432 17.033 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306078;1555725;56.878097197257325;16.719203582382566;"N 56° 522 41.153 ";"E 16° 432 9.133 "
6306070;1555680;56.8780307562832;16.718463871911986;"N 56° 522 40.913 ";"E 16° 432 6.473 "
6306070;1555680;56.8780307562832;16.718463871911986;"N 56° 522 40.913 ";"E 16° 432 6.473 "
6306077;1555678;56.878093847917555;16.718432604390916;"N 56° 522 41.143 ";"E 16° 432 6.363 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6313870;1559570;56.947582308088336;16.784084480856567;"N 56° 562 51.303 ";"E 16° 472 2.703 "
6310650;1562890;56.91823326359578;16.83783079191962;"N 56° 552 5.643 ";"E 16° 502 16.193 "
6338240;1573270;57.16440849963312;17.016247940447666;"N 57° 92 51.873 ";"E 17° 02 58.493 "
6332312;1571584;57.11145400381417;16.9866927133262;"N 57° 62 41.233 ";"E 16° 592 12.093 "
6332312;1571584;57.11145400381417;16.9866927133262;"N 57° 62 41.233 ";"E 16° 592 12.093 "
6347210;1575720;57.24453896519375;17.059456901452847;"N 57° 142 40.343 ";"E 17° 32 34.043 "
6268390;1539280;56.541349695181374;16.44375543525099;"N 56° 322 28.863 ";"E 16° 262 37.523 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6332300;1571550;57.111351550716556;16.986128266078534;"N 57° 62 40.873 ";"E 16° 592 10.063 "
6241046;1542160;56.29555026971139;16.486173635341444;"N 56° 172 43.983 ";"E 16° 292 10.233 "
6268584;1539618;56.543063507866776;16.449278926904302;"N 56° 322 35.033 ";"E 16° 262 57.403 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258175;1547975;56.448816426793705;16.583206149251993;"N 56° 262 55.743 ";"E 16° 342 59.543 "
6283980;1553825;56.67990070288796;16.68340359630946;"N 56° 402 47.643 ";"E 16° 412 0.253 "
6296674;1556961;56.79350993386567;16.737374754549794;"N 56° 472 36.643 ";"E 16° 442 14.553 "
6313876;1559575;56.94763553751496;16.784168037724456;"N 56° 562 51.493 ";"E 16° 472 3.003 "
6306058;1555224;56.877977383006154;16.710983263869796;"N 56° 522 40.723 ";"E 16° 422 39.543 "
6258231;1547009;56.449416344055784;16.567553100904245;"N 56° 262 57.903 ";"E 16° 342 3.193 "
6258175;1547975;56.448816426793705;16.583206149251993;"N 56° 262 55.743 ";"E 16° 342 59.543 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6260250;1547450;56.467502545054444;16.575069896399373;"N 56° 282 3.013 ";"E 16° 342 30.253 "
6248301;1538058;56.36104831636117;16.420972827670177;"N 56° 212 39.773 ";"E 16° 252 15.503 "
6265963;1536554;56.51977446402807;16.399105247266505;"N 56° 312 11.193 ";"E 16° 232 56.783 "
6265963;1536554;56.51977446402807;16.399105247266505;"N 56° 312 11.193 ";"E 16° 232 56.783 "
6265963;1536554;56.51977446402807;16.399105247266505;"N 56° 312 11.193 ";"E 16° 232 56.783 "
6290610;1556250;56.7391473795939;16.724411248066385;"N 56° 442 20.933 ";"E 16° 432 27.883 "
6266075;1536570;56.520778990347054;16.399380881114418;"N 56° 312 14.803 ";"E 16° 232 57.773 "
6306175;1555450;56.879001021022994;16.714714941149108;"N 56° 522 44.403 ";"E 16° 422 52.973 "
6306175;1555450;56.879001021022994;16.714714941149108;"N 56° 522 44.403 ";"E 16° 422 52.973 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6241046;1542160;56.29555026971139;16.486173635341444;"N 56° 172 43.983 ";"E 16° 292 10.233 "
6272910;1551350;56.58077624229661;16.640831477649876;"N 56° 342 50.793 ";"E 16° 382 26.993 "
6306591;1556111;56.882656939055835;16.72564670553975;"N 56° 522 57.573 ";"E 16° 432 32.333 "
6306591;1556111;56.882656939055835;16.72564670553975;"N 56° 522 57.573 ";"E 16° 432 32.333 "
6300510;1552460;56.82848162917954;16.664514470355943;"N 56° 492 42.533 ";"E 16° 392 52.253 "
6268390;1539280;56.541349695181374;16.44375543525099;"N 56° 322 28.863 ";"E 16° 262 37.523 "
6268390;1539280;56.541349695181374;16.44375543525099;"N 56° 322 28.863 ";"E 16° 262 37.523 "
6258229;1547014;56.44939788712752;16.567633815037272;"N 56° 262 57.833 ";"E 16° 342 3.483 "
6305200;1551150;56.870739267594;16.643999937352955;"N 56° 522 14.663 ";"E 16° 382 38.403 "
6305149;1551322;56.87026239227885;16.646809815213985;"N 56° 522 12.943 ";"E 16° 382 48.523 "
6296674;1556961;56.79350993386567;16.737374754549794;"N 56° 472 36.643 ";"E 16° 442 14.553 "
6306200;1555350;56.87923740663322;16.713080420637656;"N 56° 522 45.253 ";"E 16° 422 47.093 "
6306200;1555350;56.87923740663322;16.713080420637656;"N 56° 522 45.253 ";"E 16° 422 47.093 "
6306250;1555625;56.87965353723869;16.71760124600687;"N 56° 522 46.753 ";"E 16° 432 3.363 "
6306200;1555350;56.87923740663322;16.713080420637656;"N 56° 522 45.253 ";"E 16° 422 47.093 "
6306200;1555350;56.87923740663322;16.713080420637656;"N 56° 522 45.253 ";"E 16° 422 47.093 "
6265950;1536501;56.51966182774214;16.398242428791423;"N 56° 312 10.783 ";"E 16° 232 53.673 "
6272910;1551350;56.58077624229661;16.640831477649876;"N 56° 342 50.793 ";"E 16° 382 26.993 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306083;1555664;56.87814939718037;16.71820432820424;"N 56° 522 41.343 ";"E 16° 432 5.543 "
