x,y
6275755,1538971
6283750,1544290
6268390,1539280
6268390,1539280
6264000,1538250
6265940,1536510
6265940,1536510
6265940,1536510
6259160,1538460
6255100,1538925
6254924,1538831
6253443,1538727
6247821,1538112
6247800,1538090
6247800,1538090
6242620,1543480
6247000,1545000
6246416,1544878
6258229,1547014
6258229,1547014
6258229,1547014
6257925,1547000
6265500,1548960
6265500,1548960
6274345,1547035
6272863,1551353
6272850,1551350
6275109,1551101
6275120,1551070
6280360,1553610
6286146,1554808
6287745,1555230
6286318,1554662
6286150,1554760
6286150,1554760
6287450,1555124
6288310,1555360
6288553,1555531
6294638,1557215
6294680,1557245
6294068,1557129
6296547,1557031
6296674,1556961
6301200,1559250
6301650,1554900
6305905,1555861
6306080,1555677
6306078,1555725
6306070,1555680
6306070,1555680
6306077,1555678
6306080,1555677
6313870,1559570
6310650,1562890
6338240,1573270
6332312,1571584
6332312,1571584
6347210,1575720
6268390,1539280
6258229,1547014
6332300,1571550
6241046,1542160
6268584,1539618
6258229,1547014
6258229,1547014
6258229,1547014
6258229,1547014
6258175,1547975
6283980,1553825
6296674,1556961
6313876,1559575
6306058,1555224
6258231,1547009
6258175,1547975
6258229,1547014
6258229,1547014
6258229,1547014
6258229,1547014
6260250,1547450
6248301,1538058
6265963,1536554
6265963,1536554
6265963,1536554
6290610,1556250
6266075,1536570
6306175,1555450
6306175,1555450
6258229,1547014
6258229,1547014
6258229,1547014
6258229,1547014
6306080,1555677
6241046,1542160
6272910,1551350
6306591,1556111
6306591,1556111
6300510,1552460
6268390,1539280
6268390,1539280
6258229,1547014
6305200,1551150
6305149,1551322
6296674,1556961
6306200,1555350
6306200,1555350
6306250,1555625
6306200,1555350
6306200,1555350
6265950,1536501
6272910,1551350
6306080,1555677
6306083,1555664
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
6306080,1555677
